show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s633,Movie,Trust,,,,"June 10, 2021",2021,,94 min,"Drama, Romance","In this sexy and twisty ride, New York gallery owner Brooke and her husband Owen each face exceptional temptations, with most unexpected results."
s634,Movie,Two of Us,,,,"June 10, 2021",2019,,95 min,"Drama, International, LGBTQ+","Two retired women, Nina and Madeleine, have been secretly in love for decades. Everybody thinks they are simply neighbors, sharing the top floor of their building, until an unforeseen event tests their relationship."
s635,TV Show,Lego Masters,,,United States,"June 9, 2021",2020,TV-G,2 Seasons,"Game Shows, Reality",Twelve teams of two compete against each other in ambitious brick-building challenges to be crowned the country's most talented amateur LEGO builders.
s636,Movie,The Croods: A New Age,,,,"June 9, 2021",2020,PG,95 min,"Action, Adventure, Comedy","In search of a new home, the Croods encounter the more sophisticated Betterman family. A new threat forces the two families to set aside their differences to avoid extinction."
s637,TV Show,Hell's Kitchen,,,United States,"June 8, 2021",2005,TV-14,11 Seasons,"Cooking & Food, Family, Lifestyle & Culture",An unscripted culinary boot camp that features the drama of aspiring restaurateurs competing for world-renowned Chef Gordon Ramsay’s approval and the chance to become America’s next culinary star.
s638,TV Show,Killer Women with Piers Morgan,,,,"June 8, 2021",2017,TV-14,2 Seasons,"Crime, Documentaries","Killer Women with Piers Morgan explores the world of female killers, digging in on motives and reasons why they ultimately commit the crime of murder."
s639,Movie,The American Royal Baby,,,,"June 7, 2021",2021,,,News,An insider's look at the life Prince Harry and Meghan Markle's new daughter has as the first American born into the senior British Royal family in the U.S.
s640,TV Show,The Chase,,,United States,"June 7, 2021",2021,TV-PG,1 Season,"Game Shows, Reality","A heart-racing quiz show where three competitors face off against the Chaser, a ruthless quiz genius determined to stop them from winning cash prizes. Each episode is a fast-paced battle of brainpower, where contestants are challenged to think faster than they ever thought possible to answer up to 166 questions across all topics."
s641,TV Show,The Insider: Reggie Yates,,,,"June 7, 2021",2016,,2 Seasons,"Crime, Documentaries",The Insider sees TV presenter Reggie Yates live life for real inside some of the world’s most brutal institutions.
s642,TV Show,Tom Kerridge's American Feast,,,,"June 7, 2021",2019,,1 Season,Documentaries,"The USA has given us some of the most famous foods on the planet. But beyond popcorn, burgers and hot dogs, how much do we really know about American cuisine? In this 10-part series, top chef Tom Kerridge travels from coast to coast across America to find the country’s best kept food secrets. From comforting pancakes and maple syrup in Vermont to meaty tacos in Tucson, this is an exciting culinary adventure to unearth the United States’ best recipes and flavours. Travelling East to West, Tom’s journey captures the heart and soul of American food. From rustling up conch fritters in the Florida Keys and sampling soul food in Oakland to cooking up mountain elk in Colorado – each sizzling episode will feature stunning locations and iconic American cuisine. Every show, Tom will experience delicious dishes with the help of local chefs and home-grown cooks. Whether they’re a street food extraordinaire or a high-end restaurateur, Tom will bring out their captivating personal stories. We’ll see him gathering ingredients out in the Tucson desert, fishing in the Florida Keys, sculpting pierogi in Pittsburgh’s Polish district, and foraging along the California coastline – in each place delving into the fascinating histories of each area’s distinctive cuisine. In each episode he’ll take all he’s learned back to his studio kitchen, combining it with two decades of experience in Britain’s best kitchens, to create mouth-watering dishes that you can make at home. Iconic locations and flavour-packed recipes, Tom Kerridge’s American Feast is a taste-bud tickling adventure into some of the world’s best-loved foods."
s643,TV Show,Little Birds,,,,"June 6, 2021",2020,,1 Season,"Drama, Romance","“Little Birds” follows New York heiress Lucy Savage (Juno Temple) fresh off the transatlantic steamer and ready for love and marriage in exotic climes. But when her husband Hugo (Hugh Skinner) does not receive her in the way she expected, she spins off into the surprising, diverse and degenerate world of Tangier in 1955. Period drama about an ingénue abroad this is not. Instead, “Little Birds” is a modern tale of a woman losing and then finding herself down a mesmerizing rabbit hole. What Lucy discovers is a world in flux, a country quivering on the cusp of independence, populated by a myriad of characters including a provocative dominatrix, Cherifa Lamor (Yumna Marwan) who particularly captures Lucy’s imagination. “Little Birds” is a bold and subversive re-invention of melodrama for our times that takes the audience on a witty, moving and provocative journey towards freedom and independence."
s644,TV Show,The Kings,,,,"June 6, 2021",2021,,1 Season,"Documentaries, Sports","A four-part series showcasing four champions who ushered in a boxing renaissance. As the recession of the late 70s gave way to the capitalism of the 80s, the underrepresented yearned for someone to fight for them. Amidst this backdrop, Roberto Duran, Marvelous Marvin Hagler, Thomas Hearns and Sugar Ray Leonard became the people?s champions and revitalized the sport of boxing. Through in-depth interviews and archival footage, the series showcases their incredible achievements in the ring as well as their personal battles outside of it."
